Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1200.00,1.000,-8.227,8.9413454405724e+01,2.7123,48.3083,1.6757,16.7321,1.5492,0.0512,8.1259,0.0243,8.6485,0.0145,0.0000,11.1402,2.2368,0.0280,0.0112,0.3355,1.1184,0.0000,0.0000,0.0000,-1.4352201998022e+03,-1.0825157491710e+03,2.3942195338646e+02,3.2966307265977e+01,1.3129731558905e+02,4.1620498e-01,3.1688199e-02,1.3552557e-02,2.8795451e-03,1.7648425e-03,7.1331181e-02,4.1573493e-04,6.2351292e-02,6.1539293e-04,0.0000000e+00,1.0910654e-01,1.3759194e-04,4.0465150e-04,4.3362516e-03,2.9004932e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.3802695e-03,2.0081,9.6868337436660e+00,3.2772,-1.5339444803719e+02,-1.1877026530954e+02,2.3503501155784e+01,2.9558244756291e+00,1.2057552776665e+01,-1.5886146478394e+03,-1.2012860144805e+03, 2.6292545454224e+02, 3.5922131741606e+01, 1.4335486836571e+02, 2.7005111868726e-03,-2.2514443355045e-04, 7.5176807609799e-05, 6.2675688394540e-06, 2.5615238972326e-03,-2.2295114881587e-04, 7.7701268648799e-05, 6.7630003875492e-06
2,1190.00,1.000,-8.340,8.8562000359255e+01,2.7113,48.4038,1.6914,16.8822,1.5516,0.0456,8.0614,0.0242,8.3173,0.0131,0.0000,11.2435,2.2583,0.0282,0.0113,0.3387,1.1292,0.0000,0.0000,0.0000,-1.4194531441636e+03,-1.0738127635837e+03,2.3623031171099e+02,3.2664013288612e+01,1.2979438507506e+02,4.1694870e-01,3.2072064e-02,1.3382807e-02,2.9477291e-03,1.5791139e-03,7.1807363e-02,4.1567938e-04,5.9462818e-02,5.6649218e-04,0.0000000e+00,1.1024291e-01,1.3184646e-04,3.9982228e-04,4.5976053e-03,3.0070694e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.4264782e-03,2.0807,8.5394683261870e-01,3.2981,-1.3412139920164e+01,-1.0396739570439e+01,2.0608962510506e+00,2.5891929636693e-01,1.0579896137703e+00,-1.5859781396127e+03,-1.2030644318024e+03, 2.6170502532912e+02, 3.5876479563752e+01, 1.4289483714790e+02, 2.6814234199802e-03,-2.2444893112606e-04, 7.4740427505308e-05, 6.2561581809390e-06, 2.5309003810019e-03,-2.2206556445608e-04, 7.7482835885455e-05, 6.7984776547191e-06
3,1180.00,1.000,-8.454,8.1959451668006e+01,2.7146,48.6182,1.8276,16.3462,1.6250,0.0488,8.3679,0.0253,7.9771,0.0109,0.0000,11.2203,2.3039,0.0304,0.0122,0.3660,1.2201,0.0000,0.0000,0.0000,-1.3058924668719e+03,-9.8946135436289e+02,2.1775529883977e+02,3.0191906820683e+01,1.1954097302317e+02,4.2323219e-01,3.4930165e-02,1.2253534e-02,2.9506884e-03,1.6350500e-03,7.6108527e-02,4.3468136e-04,5.6180341e-02,4.6498015e-04,0.0000000e+00,1.1059487e-01,1.2772828e-04,4.1288860e-04,5.0548846e-03,3.3009565e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.8310249e-03,2.1216,6.6015799378114e+00,2.8276,-1.1118169942578e+02,-8.7950861912908e+01,1.5986537874876e+01,2.3346735350700e+00,8.1346255964543e+00,-1.5832979707967e+03,-1.2067589217070e+03, 2.5911918872089e+02, 3.5736654621403e+01, 1.4075985442681e+02, 2.5843939409286e-03,-2.1432558811546e-04, 7.2317735622092e-05, 5.9973601442565e-06, 2.3669818319217e-03,-2.0909212108077e-04, 7.8397891394532e-05, 6.9254360886387e-06
4,1170.00,1.000,-8.570,7.5251948723140e+01,2.7189,48.8471,1.9903,15.6776,1.7113,0.0520,8.7303,0.0266,7.6466,0.0090,0.0000,11.1900,2.3454,0.0329,0.0133,0.3987,1.3289,0.0000,0.0000,0.0000,-1.1909804701327e+03,-9.0360613960928e+02,1.9912991062843e+02,2.7677424415460e+01,1.0918007619836e+02,4.3042821e-01,3.8303891e-02,1.1033769e-02,2.9340108e-03,1.6724931e-03,8.1136368e-02,4.5602505e-04,5.2932578e-02,3.7725714e-04,0.0000000e+00,1.1084695e-01,1.2356341e-04,4.2773990e-04,5.5534247e-03,3.6376745e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.3566717e-03,2.1536,6.7091888226540e+00,2.8211,-1.1276342694795e+02,-8.9388015037687e+01,1.6197492921916e+01,2.3781768218267e+00,8.2501401101392e+00,-1.5806427615133e+03,-1.2104304422043e+03, 2.5653072744274e+02, 3.5596259336882e+01, 1.3862160732334e+02, 2.4865653270619e-03,-2.0381701275064e-04, 6.9854680614867e-05, 5.7257986245611e-06, 2.2019983264806e-03,-1.9564451438338e-04, 7.9559365547418e-05, 7.0687399032005e-06
5,1160.00,1.000,-8.688,6.9562353940553e+01,2.7231,49.0669,2.1527,15.0295,1.7945,0.0531,9.0642,0.0277,7.3279,0.0076,0.0000,11.1791,2.3783,0.0354,0.0144,0.4313,1.4376,0.0000,0.0000,0.0000,-1.0937554003822e+03,-8.3102392516130e+02,1.8332447770361e+02,2.5545097155342e+01,1.0041146237985e+02,4.3731191e-01,4.1632286e-02,9.9339283e-03,2.9134658e-03,1.6392558e-03,8.6024911e-02,4.7541785e-04,4.9828944e-02,3.0954848e-04,0.0000000e+00,1.1116808e-01,1.1911816e-04,4.4031994e-04,6.0510919e-03,3.9754874e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.9280261e-03,2.1845,5.6919274167338e+00,2.8252,-9.5270855996495e+01,-7.5643376894552e+01,1.3695341800888e+01,2.0146913543966e+00,6.9839252419416e+00,-1.5780229490081e+03,-1.2137131402877e+03, 2.5420214821923e+02, 3.5473860577774e+01, 1.3680127061275e+02, 2.4029901079902e-03,-1.9480390017558e-04, 6.7739740441324e-05, 5.4914773019555e-06, 2.0617799135413e-03,-1.8413108770606e-04, 8.0711374907027e-05, 7.2080793659285e-06
6,1150.00,1.000,-8.807,6.2749593024576e+01,2.7267,49.1147,2.3545,14.8227,1.8682,0.0472,9.5099,0.0302,6.8903,0.0073,0.0000,10.7440,2.4842,0.0391,0.0159,0.4781,1.5936,0.0000,0.0000,0.0000,-9.7973141489792e+02,-7.4519001120494e+02,1.6480441534131e+02,2.3013224441438e+01,8.9997106016358e+01,4.4324326e-01,4.6976767e-02,9.4013192e-03,2.8065499e-03,1.3607643e-03,9.3594363e-02,5.0906256e-04,4.6575126e-02,2.9488492e-04,0.0000000e+00,1.0594081e-01,1.1191187e-04,4.5109960e-04,6.8651266e-03,4.4351462e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,4.7268131e-03,2.2104,6.8172502117787e+00,2.9649,-1.1226574052652e+02,-8.9310734895699e+01,1.6129716214609e+01,2.2993342970456e+00,8.2310147770532e+00,-1.5754657200056e+03,-1.2174815001718e+03, 2.5154356170032e+02, 3.5235991202062e+01, 1.3457518742471e+02, 2.3103899148302e-03,-1.8466089654121e-04, 6.5569034274676e-05, 5.2406897107637e-06, 1.8945028155010e-03,-1.7142378233221e-04, 8.2322354275994e-05, 7.4489249765254e-06
7,1140.00,1.000,-8.928,5.6995107155731e+01,2.7301,49.1586,2.5574,14.6295,1.9360,0.0392,9.9227,0.0328,6.4651,0.0072,0.0000,10.3253,2.5850,0.0428,0.0175,0.5264,1.7545,0.0000,0.0000,0.0000,-8.8381466372991e+02,-6.7300726233664e+02,1.4917553083060e+02,2.0876922949942e+01,8.1229604054496e+01,4.4882112e-01,5.2572355e-02,8.9051572e-03,2.6991404e-03,1.0575398e-03,1.0130810e-01,5.4158116e-04,4.3447977e-02,2.8302281e-04,0.0000000e+00,1.0086919e-01,1.0483785e-04,4.5900706e-04,7.7169436e-03,4.9015827e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.6091107e-03,2.2350,5.7616660531207e+00,2.9720,-9.4384411049522e+01,-7.5186450668059e+01,1.3585224768399e+01,1.9386634960356e+00,6.9386017724127e+00,-1.5729415163471e+03,-1.2208308017914e+03, 2.4916726076898e+02, 3.5031592645819e+01, 1.3269319005342e+02, 2.2312786092338e-03,-1.7599328949851e-04, 6.3693324816623e-05, 5.0238449412751e-06, 1.7529174641611e-03,-1.6058648141360e-04, 8.3964359516208e-05, 7.6920570046963e-06
8,1130.00,1.000,-9.051,5.1669011375139e+01,2.7347,49.0744,2.7783,14.4432,2.0051,0.0286,10.3159,0.0361,6.0681,0.0079,0.0000,9.9659,2.6943,0.0471,0.0194,0.5806,1.9354,0.0000,0.0000,0.0000,-7.9556756258199e+02,-6.0644263167438e+02,1.3478596793473e+02,1.8894033882786e+01,7.3204362673156e+01,4.5173041e-01,5.8429244e-02,8.4482032e-03,2.5806627e-03,7.1808346e-04,1.0885462e-01,5.8255368e-04,4.0472141e-02,3.0211360e-04,0.0000000e+00,9.6453149e-02,1.0004798e-04,4.7271723e-04,8.6100229e-03,5.3839341e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,6.6757761e-03,2.2405,5.3343798018822e+00,2.9826,-8.6887483668748e+01,-6.9262525467321e+01,1.2560993622511e+01,1.7884845837089e+00,6.4253702533271e+00,-1.5704590530467e+03,-1.2239435228431e+03, 2.4695544325519e+02, 3.4829801588322e+01, 1.3103341122455e+02, 2.1604190567725e-03,-1.6752969285150e-04, 6.2027888711741e-05, 4.8099525467199e-06, 1.6251567746826e-03,-1.5012361843974e-04, 8.6014282855882e-05, 7.9455567493459e-06
9,1120.00,1.000,-9.175,4.6735387821714e+01,2.7387,48.9976,3.0140,14.2227,2.0712,0.0158,10.6419,0.0399,5.6305,0.0087,0.0000,9.6960,2.8068,0.0518,0.0214,0.6419,2.1397,0.0000,0.0000,0.0000,-7.1454072480859e+02,-5.4525494686083e+02,1.2151295836612e+02,1.7064735807894e+01,6.5807683311283e+01,4.5382589e-01,6.4485312e-02,7.9497976e-03,2.4790487e-03,3.7100285e-04,1.1628370e-01,6.2706894e-04,3.7178644e-02,3.2487065e-04,0.0000000e+00,9.3117607e-02,9.6277875e-05,4.8718919e-04,9.5610115e-03,5.8642533e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,7.9483055e-03,2.2426,4.9448762784062e+00,2.9884,-7.9856137724103e+01,-6.3669753358216e+01,1.1618551028882e+01,1.6546887693872e+00,5.9459349154764e+00,-1.5680104843006e+03,-1.2268777133881e+03, 2.4486435122748e+02, 3.4646563759432e+01, 1.2951352043662e+02, 2.0933065899833e-03,-1.5951895488056e-04, 6.0418880340288e-05, 4.6041782379396e-06, 1.5063078350185e-03,-1.4024882714194e-04, 8.8270211269349e-05, 8.2186345408911e-06
10,1110.00,1.000,-9.302,4.2265371193558e+01,2.7399,49.0439,3.2211,14.0222,2.1178,0.0038,10.8361,0.0441,5.1897,0.0096,0.0000,9.4279,2.9272,0.0571,0.0237,0.7098,2.3660,0.0000,0.0000,0.0000,-6.4223547457800e+02,-4.9072184458044e+02,1.0954244297260e+02,1.5426034510459e+01,5.9141294205260e+01,4.5652882e-01,7.0356082e-02,7.4605536e-03,2.3966277e-03,8.4724995e-05,1.2340575e-01,6.7491857e-04,3.4047646e-02,3.4941371e-04,0.0000000e+00,8.9872283e-02,9.2013515e-05,4.9695102e-04,1.0571510e-02,6.3314093e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.3922448e-03,2.2536,4.4821678706753e+00,3.0195,-7.1284882784644e+01,-5.6810482606692e+01,1.0464808717747e+01,1.4844090903779e+00,5.3446028092969e+00,-1.5656251157882e+03,-1.2296835936405e+03, 2.4288148223092e+02, 3.4483583136839e+01, 1.2811774461886e+02, 2.0284607790527e-03,-1.5232021385893e-04, 5.8823956054777e-05, 4.4171805828440e-06, 1.3953373927781e-03,-1.3138715505273e-04, 9.0453407959901e-05, 8.5172346116333e-06
