Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1200.00,1.000,-8.227,9.1130994947305e+01,2.6434,47.7798,1.6459,16.4590,1.5473,0.0762,8.1958,0.0247,8.8898,0.0169,0.0000,10.9370,2.1946,0.0274,0.0110,1.0973,1.0973,0.0000,0.0000,0.0000,-1.4700559769649e+03,-1.1014748617517e+03,2.5019931114494e+02,3.4475098135512e+01,1.3494753071798e+02,3.9078163e-01,3.4250764e-02,1.2076054e-02,2.7738882e-03,2.1134179e-03,6.6279189e-02,3.5836470e-04,6.3316696e-02,5.8029183e-04,0.0000000e+00,1.0019243e-01,1.0714713e-04,3.6590761e-04,3.5234505e-03,2.3482526e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.0676560e-02,1.7506,8.6703146127012e+00,3.2609,-1.3827324723730e+02,-1.0723141564469e+02,2.1071738514484e+01,2.6588324706868e+00,1.0835168804219e+01,-1.6083292242022e+03,-1.2087062773964e+03, 2.7127104965942e+02, 3.7133930606198e+01, 1.4578269952220e+02, 3.6106168943443e-03,-3.3382055584007e-04, 9.7232284204829e-05, 8.9896369813421e-06, 3.4850950935371e-03,-3.3183846858154e-04, 1.0109021531536e-04, 9.6254539226307e-06
2,1190.00,1.000,-8.340,9.0247853688431e+01,2.6425,47.8717,1.6614,16.6094,1.5504,0.0690,8.1362,0.0246,8.5502,0.0156,0.0000,11.0403,2.2161,0.0277,0.0111,1.1081,1.1081,0.0000,0.0000,0.0000,-1.4536318735161e+03,-1.0923889978779e+03,2.4689394500782e+02,3.4152859847486e+01,1.3338059379893e+02,3.9162833e-01,3.4733926e-02,1.1919763e-02,2.8397997e-03,1.9199174e-03,6.6739322e-02,3.5854544e-04,6.0411165e-02,5.4318334e-04,0.0000000e+00,1.0123131e-01,1.0242634e-04,3.6149143e-04,3.7304503e-03,2.4312929e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.1040566e-02,1.8169,8.8577458944389e-01,3.2923,-1.3963336113228e+01,-1.0833930564976e+01,2.1388138934846e+00,2.6904073819446e-01,1.0996554389767e+00,-1.6056114173553e+03,-1.2105271188713e+03, 2.7002309980790e+02, 3.7078587547369e+01, 1.4530143053411e+02, 3.5886728867014e-03,-3.3225443225837e-04, 9.6785587695777e-05, 8.9608168551164e-06, 3.4510886612480e-03,-3.3007488108860e-04, 1.0104830683753e-04, 9.6646337250405e-06
3,1180.00,1.000,-8.454,8.9394221079327e+01,2.6416,47.9634,1.6766,16.7572,1.5532,0.0623,8.0733,0.0246,8.2193,0.0143,0.0000,11.1421,2.2373,0.0280,0.0112,1.1186,1.1186,0.0000,0.0000,0.0000,-1.4377714184245e+03,-1.0836637882943e+03,2.4368277888049e+02,3.3841337379731e+01,1.3186925084732e+02,3.9242804e-01,3.5219012e-02,1.1760854e-02,2.9063372e-03,1.7355198e-03,6.7162676e-02,3.5865326e-04,5.7619020e-02,5.0759945e-04,0.0000000e+00,1.0224881e-01,9.7874713e-05,3.5712084e-04,3.9483808e-03,2.5175699e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.1409700e-02,1.8840,8.5628017280746e-01,3.3001,-1.3432846071380e+01,-1.0440745772857e+01,2.0590443509089e+00,2.5946833229178e-01,1.0601305883227e+00,-1.6029063264907e+03,-1.2123262558758e+03, 2.6878166095369e+02, 3.7024267986721e+01, 1.4483509696360e+02, 3.5672040309122e-03,-3.3072081795127e-04, 9.6347726096611e-05, 8.9325417066959e-06, 3.4180942655374e-03,-3.2835090061276e-04, 1.0100352202938e-04, 9.7026573426564e-06
4,1170.00,1.000,-8.570,8.8568707816104e+01,2.6407,48.0549,1.6915,16.9024,1.5557,0.0558,8.0069,0.0245,7.8970,0.0131,0.0000,11.2424,2.2581,0.0282,0.0113,1.1291,1.1291,0.0000,0.0000,0.0000,-1.4224488637482e+03,-1.0752830534107e+03,2.4056114079444e+02,3.3540032785952e+01,1.3041091321806e+02,3.9318289e-01,3.5706288e-02,1.1599479e-02,2.9734984e-03,1.5600255e-03,6.7548379e-02,3.5868943e-04,5.4936179e-02,4.7353975e-04,0.0000000e+00,1.0324510e-01,9.3487647e-05,3.5279555e-04,4.1778398e-03,2.6072585e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.1784341e-02,1.9519,8.2817388792351e-01,3.3082,-1.2927145085046e+01,-1.0065220527649e+01,1.9831095571472e+00,2.5034130036554e-01,1.0224519464690e+00,-1.6002138844713e+03,-1.2141047564709e+03, 2.6754608183519e+02, 3.6970924782030e+01, 1.4438296977057e+02, 3.5461852242792e-03,-3.2921815011872e-04, 9.5918218037188e-05, 8.9047853701171e-06, 3.3860616839263e-03,-3.2666464173471e-04, 1.0095582510416e-04, 9.7395444965555e-06
5,1160.00,1.000,-8.688,8.7769978741566e+01,2.6398,48.1462,1.7062,17.0449,1.5578,0.0496,7.9373,0.0245,7.5832,0.0120,0.0000,11.3411,2.2787,0.0285,0.0114,1.1393,1.1393,0.0000,0.0000,0.0000,-1.4076396003302e+03,-1.0672312802826e+03,2.3752455782549e+02,3.3248469087528e+01,1.2900309977826e+02,3.9389492e-01,3.6196045e-02,1.1435784e-02,3.0412813e-03,1.3932762e-03,6.7895532e-02,3.5865508e-04,5.2358682e-02,4.4099825e-04,0.0000000e+00,1.0422041e-01,8.9260596e-05,3.4851508e-04,4.4194664e-03,2.7005442e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.2164887e-02,2.0205,8.0140150634724e-01,3.3165,-1.2445139690466e+01,-9.7066145704618e+00,1.9108433311269e+00,2.4164099735357e-01,9.8654241702121e-01,-1.5975340257604e+03,-1.2158636343309e+03, 2.6631573207939e+02, 3.6918512852666e+01, 1.4394434916050e+02, 3.5255922252674e-03,-3.2774493249800e-04, 9.5496593791231e-05, 8.8775226078571e-06, 3.3549427169225e-03,-3.2501429945261e-04, 1.0090517876449e-04, 9.7753162287562e-06
6,1150.00,1.000,-8.807,8.6996748054449e+01,2.6390,48.2374,1.7206,17.1848,1.5596,0.0438,7.8642,0.0244,7.2777,0.0109,0.0000,11.4384,2.2989,0.0287,0.0115,1.1495,1.1495,0.0000,0.0000,0.0000,-1.3933200720282e+03,-1.0594935684451e+03,2.3456874087980e+02,3.2966188589942e+01,1.2764342823616e+02,3.9456611e-01,3.6688591e-02,1.1269909e-02,3.1096838e-03,1.2351570e-03,6.8203199e-02,3.5855123e-04,4.9882694e-02,4.0996380e-04,0.0000000e+00,1.0517502e-01,8.5189095e-05,3.4427874e-04,4.6739444e-03,2.7976244e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.2551753e-02,2.0899,7.7591357548118e-01,3.3251,-1.1985819978568e+01,-9.3642461526001e+00,1.8420924189069e+00,2.3335027874289e-01,9.5233113773632e-01,-1.5948666874011e+03,-1.2176038519133e+03, 2.6509000139674e+02, 3.6866989013659e+01, 1.4351856216246e+02, 3.5054015642014e-03,-3.2629972934350e-04, 9.5082393707353e-05, 8.8507290145827e-06, 3.3246910178718e-03,-3.2339814212079e-04, 1.0085154396302e-04, 9.8099949054914e-06
7,1140.00,1.000,-8.928,8.2964001375400e+01,2.6372,48.4176,1.8039,16.9065,1.6019,0.0436,7.9939,0.0250,6.9628,0.0096,0.0000,11.4331,2.3492,0.0301,0.0121,1.2053,1.2053,0.0000,0.0000,0.0000,-1.3238832047015e+03,-1.0086170571648e+03,2.2309460958612e+02,3.1459445038374e+01,1.2133441224145e+02,3.9764304e-01,3.9065195e-02,1.0566636e-02,3.1371446e-03,1.2024830e-03,7.0416999e-02,3.6672415e-04,4.7259306e-02,3.5702979e-04,0.0000000e+00,1.0530843e-01,8.1454453e-05,3.4694138e-04,5.0175645e-03,2.9727563e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.4527357e-02,2.1346,4.0334146575682e+00,2.8629,-6.7099539593331e+01,-5.3539249254356e+01,9.5957897880446e+00,1.4088524816682e+00,4.9412035028795e+00,-1.5921786040480e+03,-1.2203895624691e+03, 2.6309241168940e+02, 3.6766404627019e+01, 1.4213121600099e+02, 3.4403790142004e-03,-3.1944344133348e-04, 9.3573985520251e-05, 8.6884601465416e-06, 3.2197065330048e-03,-3.1487913098376e-04, 1.0234467038682e-04, 1.0009049129750e-05
8,1130.00,1.000,-9.051,7.6846416111114e+01,2.6331,48.5733,1.9262,16.6732,1.6568,0.0414,8.2597,0.0265,6.5851,0.0088,0.0000,11.1531,2.4478,0.0324,0.0130,1.3013,1.3013,0.0000,0.0000,0.0000,-1.2205687527946e+03,-9.3105893809846e+02,2.0632848569013e+02,2.9184531950359e+01,1.1189208285960e+02,4.0160912e-01,4.3270507e-02,9.9148835e-03,3.1042578e-03,1.0905261e-03,7.4519013e-02,3.8273513e-04,4.4517259e-02,3.2226569e-04,0.0000000e+00,1.0226860e-01,7.6341216e-05,3.5083319e-04,5.5268094e-03,3.2232482e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.7766987e-02,2.1651,6.1217602588535e+00,2.9308,-1.0115483575179e+02,-8.0970718453955e+01,1.4384860704725e+01,2.0888028369312e+00,7.4074316333654e+00,-1.5895270118821e+03,-1.2239364437900e+03, 2.6054988282946e+02, 3.6576175003897e+01, 1.4006826475976e+02, 3.3496169742297e-03,-3.0961649980424e-04, 9.1579203508100e-05, 8.4649775371878e-06, 3.0651972650887e-03,-3.0269729890761e-04, 1.0502814539916e-04, 1.0371840104288e-05
9,1120.00,1.000,-9.175,7.0919459284601e+01,2.6275,48.6916,2.0454,16.6308,1.7025,0.0354,8.5327,0.0283,6.1725,0.0085,0.0000,10.7124,2.5708,0.0350,0.0141,1.4101,1.4101,0.0000,0.0000,0.0000,-1.1214914571440e+03,-8.5649455623711e+02,1.9021419151337e+02,2.6990840589999e+01,1.0277955552968e+02,4.0535526e-01,4.8240837e-02,9.4880992e-03,3.0447933e-03,8.8320281e-04,7.9316049e-02,4.0118911e-04,4.1810651e-02,3.0677822e-04,0.0000000e+00,9.7337916e-02,7.0359220e-05,3.5204346e-04,6.1492133e-03,3.5028402e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.1376617e-02,2.1958,5.9348707404639e+00,2.9939,-9.7146419351835e+01,-7.7897084354587e+01,1.3817130242434e+01,1.9823272792977e+00,7.1192767333236e+00,-1.5869276389573e+03,-1.2274492855136e+03, 2.5803276994125e+02, 3.6359371184120e+01, 1.3803699400256e+02, 3.2625397463120e-03,-3.0031431725386e-04, 8.9730367717054e-05, 8.2596125145592e-06, 2.9142998078454e-03,-2.9125622019100e-04, 1.0797365862422e-04, 1.0790928100954e-05
10,1110.00,1.000,-9.302,6.5772811718982e+01,2.6216,48.8319,2.1577,16.5882,1.7430,0.0276,8.7729,0.0302,5.7724,0.0083,0.0000,10.2825,2.6918,0.0377,0.0152,1.5204,1.5204,0.0000,0.0000,0.0000,-1.0357936074905e+03,-7.9204837194508e+02,1.7622473017782e+02,2.5089144840469e+01,9.4884701408442e+01,4.0912057e-01,5.3440320e-02,9.0756087e-03,2.9877080e-03,6.5326900e-04,8.4079233e-02,4.1890026e-04,3.9213869e-02,2.9231614e-04,0.0000000e+00,9.2610466e-02,6.4672105e-05,3.5158975e-04,6.8015870e-03,3.7856543e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.5113867e-02,2.2278,5.1550749350969e+00,3.0011,-8.3933946204781e+01,-6.7398779315669e+01,1.1954717051016e+01,1.7177250149157e+00,6.1658221600364e+00,-1.5843604836720e+03,-1.2306533418623e+03, 2.5572580111322e+02, 3.6169320176307e+01, 1.3626299130582e+02, 3.1850077990834e-03,-2.9208609607047e-04, 8.8058271030756e-05, 8.0755207630861e-06, 2.7820625370524e-03,-2.8116949339049e-04, 1.1088710096507e-04, 1.1206818533606e-05
