Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1200.00,1.000,-8.227,8.1794035637678e+01,2.7500,48.6679,1.8314,16.1180,1.6231,0.0512,8.4751,0.0252,8.5174,0.0130,0.0000,11.1303,2.2700,0.0304,0.0122,0.0122,1.2226,0.0000,0.0000,0.0000,-1.3031128698048e+03,-9.8486741671379e+02,2.1603058282658e+02,2.9742895972565e+01,1.1926936174540e+02,4.3544088e-01,3.3191823e-02,1.3199268e-02,2.8650079e-03,1.8742030e-03,7.8060306e-02,4.6411365e-04,6.1306249e-02,5.8793302e-04,0.0000000e+00,1.1309695e-01,1.5669837e-04,4.4775859e-04,5.0016542e-03,3.4247973e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.4932767e-06,2.0970,1.7010740473820e+01,3.0606,-2.7665282678838e+02,-2.1571506940459e+02,4.1365616117696e+01,5.5579027450367e+00,2.1064651722916e+01,-1.5797656965931e+03,-1.2005824861184e+03, 2.5739619894428e+02, 3.5300798717602e+01, 1.4033401346831e+02, 2.2295581858955e-03,-1.6899773147125e-04, 6.3158859484497e-05, 4.7873628249375e-06, 2.0163842618605e-03,-1.6355140413581e-04, 6.7793810788311e-05, 5.4988392618753e-06
2,1190.00,1.000,-8.340,7.3578095259876e+01,2.7604,48.8925,2.0358,15.2693,1.7319,0.0562,8.9686,0.0268,8.1834,0.0104,0.0000,11.1153,2.2900,0.0335,0.0136,0.0136,1.3591,0.0000,0.0000,0.0000,-1.1622294053249e+03,-8.7949396344199e+02,1.9323749573379e+02,2.6655125639860e+01,1.0660585830042e+02,4.4567070e-01,3.6774412e-02,1.1711656e-02,2.8309717e-03,1.9608516e-03,8.4799015e-02,4.9454427e-04,5.7628140e-02,4.6047907e-04,0.0000000e+00,1.1382336e-01,1.5286089e-04,4.7325043e-04,5.5877107e-03,3.8704752e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,4.3757417e-06,2.1254,8.2166580104377e+00,2.8097,-1.3873704843032e+02,-1.0945389442624e+02,2.0013774393659e+01,2.9243871846957e+00,1.0131663650612e+01,-1.5771120909635e+03,-1.2048002196710e+03, 2.5445912674199e+02, 3.5133366694167e+01, 1.3777531167974e+02, 2.1131452256024e-03,-1.5638842590773e-04, 6.0146391434590e-05, 4.4512792431501e-06, 1.8162538217597e-03,-1.4727755399500e-04, 6.8139008095452e-05, 5.5252995609506e-06
3,1180.00,1.000,-8.454,6.6863888983742e+01,2.7708,49.0958,2.2398,14.4521,1.8366,0.0588,9.4259,0.0282,7.8653,0.0085,0.0000,11.1318,2.2951,0.0366,0.0150,0.0150,1.4956,0.0000,0.0000,0.0000,-1.0474043882847e+03,-7.9368264945187e+02,1.7460120347714e+02,2.4131869933825e+01,9.6285464414546e+01,4.5550407e-01,4.0182225e-02,1.0389990e-02,2.7904682e-03,1.9537789e-03,9.1397639e-02,5.2197882e-04,5.4117725e-02,3.6666004e-04,0.0000000e+00,1.1467613e-01,1.4832256e-04,4.9559495e-04,6.1640763e-03,4.3191715e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.3753543e-06,2.1512,6.7158066486444e+00,2.8129,-1.1291806110820e+02,-8.9219787540669e+01,1.6308208765463e+01,2.3874692167599e+00,8.2631085777844e+00,-1.5745008493778e+03,-1.2084477188782e+03, 2.5190319684800e+02, 3.4992692072197e+01, 1.3568143943436e+02, 2.0176800499329e-03,-1.4600463374572e-04, 5.7660040724219e-05, 4.1724321593916e-06, 1.6526257179146e-03,-1.3388304929717e-04, 6.8483118898224e-05, 5.5479765830126e-06
4,1170.00,1.000,-8.570,5.8194088719051e+01,2.7888,48.8055,2.5518,13.8733,1.9637,0.0552,10.0771,0.0324,7.5105,0.0098,0.0000,10.9565,2.3698,0.0417,0.0172,0.0172,1.7184,0.0000,0.0000,0.0000,-9.0175135631526e+02,-6.8374042206344e+02,1.5106602518922e+02,2.0867010376852e+01,8.3225089903089e+01,4.5925297e-01,4.5272716e-02,9.5378712e-03,2.6329553e-03,1.6914701e-03,1.0038588e-01,5.8784100e-04,5.0500936e-02,4.0528218e-04,0.0000000e+00,1.1273629e-01,1.5015302e-04,5.4588197e-04,7.0426991e-03,4.9655620e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,7.1517793e-06,2.1234,8.6734454287647e+00,2.9153,-1.4396710603247e+02,-1.1383741273826e+02,2.0877728090779e+01,2.9751946904414e+00,1.0601726486938e+01,-1.5719513902033e+03,-1.2126647608900e+03, 2.4896000368170e+02, 3.4697455778219e+01, 1.3317808257084e+02, 1.9106513819914e-03,-1.3204237897403e-04, 5.5066036951067e-05, 3.8055349019832e-06, 1.4527484832520e-03,-1.1645669037572e-04, 6.9619387589106e-05, 5.5808996244572e-06
5,1160.00,1.000,-8.688,4.9979498202854e+01,2.8091,48.4252,2.9356,13.4010,2.0954,0.0481,10.7946,0.0377,7.0061,0.0114,0.0000,10.6882,2.4679,0.0481,0.0200,0.0200,2.0008,0.0000,0.0000,0.0000,-7.6506992306068e+02,-5.8031436759589e+02,1.2891571396211e+02,1.7791765322186e+01,7.0862453776104e+01,4.6303962e-01,5.1556190e-02,8.8329328e-03,2.4452666e-03,1.3217359e-03,1.1190390e-01,6.6449672e-04,4.5975946e-02,4.5347521e-04,0.0000000e+00,1.0941189e-01,1.5135775e-04,5.9775772e-04,8.1609501e-03,5.7149659e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.6821073e-06,2.0898,8.2230266837810e+00,2.9496,-1.3530702379731e+02,-1.0711397450089e+02,1.9672085473545e+01,2.7878136884523e+00,9.9957530648085e+00,-1.5694388554402e+03,-1.2167257088087e+03, 2.4611041875000e+02, 3.4402172186884e+01, 1.3075132011011e+02, 1.8083405795681e-03,-1.1905268973856e-04, 5.2564720906126e-05, 3.4606154835754e-06, 1.2609313086604e-03,-1.0027862849389e-04, 7.0871624362537e-05, 5.6362382640496e-06
6,1150.00,1.000,-8.807,4.3447888150258e+01,2.8305,48.0215,3.3356,12.9199,2.2218,0.0376,11.4770,0.0434,6.5245,0.0131,0.0000,10.4532,2.5500,0.0549,0.0230,0.0230,2.3016,0.0000,0.0000,0.0000,-6.5693967453343e+02,-4.9850641645373e+02,1.1132576192228e+02,1.5350017903396e+01,6.1073312427092e+01,4.6675393e-01,5.7704502e-02,8.1595448e-03,2.2552420e-03,9.2278134e-04,1.2404171e-01,7.3900211e-04,4.1731542e-02,4.9866842e-04,0.0000000e+00,1.0625065e-01,1.5209221e-04,6.4597488e-04,9.2673804e-03,6.4518455e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2805338e-05,2.0500,6.5393873208348e+00,2.9542,-1.0696511822236e+02,-8.4779782455075e+01,1.5588894893222e+01,2.2136245463775e+00,7.9229771979190e+00,-1.5669679436644e+03,-1.2201886153018e+03, 2.4367025848476e+02, 3.4165763070198e+01, 1.2881763543270e+02, 1.7259062063023e-03,-1.0864107925656e-04, 5.0515663963255e-05, 3.1798230009773e-06, 1.1080149685062e-03,-8.7310236689165e-05, 7.2183301379804e-05, 5.6879566681059e-06
7,1140.00,1.000,-8.928,3.8018449760409e+01,2.8527,47.6120,3.7538,12.4289,2.3415,0.0230,12.1080,0.0496,6.0539,0.0150,0.0000,10.2495,2.6198,0.0622,0.0263,0.0263,2.6303,0.0000,0.0000,0.0000,-5.6774076667420e+02,-4.3103479887242e+02,9.6738469236654e+01,1.3327361085363e+01,5.2974576656310e+01,4.7060818e-01,6.3667205e-02,7.5091721e-03,2.0694794e-03,5.0146145e-04,1.3698363e-01,8.1273586e-04,3.7708393e-02,5.4189978e-04,0.0000000e+00,1.0325797e-01,1.5252323e-04,6.9050081e-04,1.0356947e-02,7.1645883e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.6701277e-05,2.0051,5.4383999766324e+00,2.9644,-8.8226995615351e+01,-6.9981594568492e+01,1.2911156669044e+01,1.8345804467927e+00,6.5597185426397e+00,-1.5645406158101e+03,-1.2232685531269e+03, 2.4149740840200e+02, 3.3968693197651e+01, 1.2720321354777e+02, 1.6557649977118e-03,-9.9943642182293e-05, 4.8743853290957e-05, 2.9422280568981e-06, 9.7992335662472e-04,-7.6478298174676e-05, 7.3527185940878e-05, 5.7384427183164e-06
8,1130.00,1.000,-9.051,3.3182650699131e+01,2.8745,47.2677,4.1840,11.9315,2.4453,0.0067,12.6159,0.0568,5.5701,0.0171,0.0000,10.0738,2.6865,0.0706,0.0301,0.0301,3.0136,0.0000,0.0000,0.0000,-4.8948469172775e+02,-3.7188475347580e+02,8.3811380288596e+01,1.1543602019592e+01,4.5806625563412e+01,4.7521875e-01,6.9323099e-02,6.8641853e-03,1.9009120e-03,1.2949812e-04,1.5094541e-01,8.9123433e-04,3.3816141e-02,5.8703168e-04,0.0000000e+00,1.0044523e-01,1.5260939e-04,7.2965168e-04,1.1450601e-02,7.8318677e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.1742675e-05,1.9600,4.8471771927604e+00,2.9919,-7.7469689005845e+01,-6.1416522284349e+01,1.1440805845060e+01,1.6200942277577e+00,5.8003587445106e+00,-1.5621768116174e+03,-1.2261695581918e+03, 2.3946638165953e+02, 3.3795451726915e+01, 1.2575315339169e+02, 1.5899034300579e-03,-9.2246061357144e-05, 4.7044893582282e-05, 2.7295407116479e-06, 8.6309492202745e-04,-6.6896933116257e-05, 7.4768250028247e-05, 5.7951524145339e-06
9,1120.00,1.000,-9.175,2.6459152424747e+01,2.8759,48.1087,4.4662,11.5154,2.3781,0.0000,11.9123,0.0712,4.8305,0.0215,0.0000,9.8868,2.8667,0.0876,0.0378,0.0378,3.7794,0.0000,0.0000,0.0000,-3.8783660205360e+02,-2.9557446357138e+02,6.6225559690069e+01,9.2002080974661e+00,3.6000836154189e+01,4.8882874e-01,7.3681045e-02,6.0310074e-03,1.8865271e-03,5.8540644e-07,1.6482539e-01,1.0593468e-03,2.9397149e-02,6.9404986e-04,0.0000000e+00,9.7883850e-02,1.4871444e-04,7.3382551e-04,1.3067704e-02,8.3174555e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.1043361e-05,1.9965,6.7544180916339e+00,3.1479,-1.0133407279176e+02,-7.9522331327727e+01,1.5656419957676e+01,2.1456676674357e+00,7.8214926955531e+00,-1.5601794160247e+03,-1.2300715699295e+03, 2.3695068448847e+02, 3.3587631082750e+01, 1.2367928009923e+02, 1.4742001312614e-03,-8.2501065472306e-05, 4.3891161232223e-05, 2.4562930701795e-06, 6.7793410170652e-04,-5.4809177666317e-05, 7.3686822572333e-05, 5.9573845597485e-06
10,1110.00,1.000,-9.302,1.7908175693552e+01,2.8565,50.8802,4.6889,10.7292,1.9707,0.0000,9.1327,0.1052,3.7662,0.0317,0.0000,9.7611,3.1115,0.1269,0.0558,0.0558,5.5840,0.0000,0.0000,0.0000,-2.6221379547911e+02,-2.0122270105310e+02,4.4095791798434e+01,6.2693151544542e+00,2.3700070618299e+01,5.2648135e-01,7.7341123e-02,4.7553326e-03,1.9445836e-03,0.0000000e+00,1.7604158e-01,1.4188977e-03,2.4027897e-02,9.1238835e-04,0.0000000e+00,9.6093322e-02,1.3900806e-04,6.8399609e-04,1.4775414e-02,8.1335890e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.4102355e-05,2.0572,8.5948488853299e+00,3.1779,-1.2571469820388e+02,-9.8362720618995e+01,1.9775134717770e+01,2.7045780681343e+00,9.8165685568880e+00,-1.5584492914893e+03,-1.2348435754977e+03, 2.3396285001017e+02, 3.3350501753098e+01, 1.2109543030566e+02, 1.3162098949565e-03,-7.0155775348001e-05, 3.9465969798618e-05, 2.1035898010585e-06, 4.3308680406945e-04,-3.9455164178552e-05, 6.9080400873092e-05, 6.2933770605741e-06
