Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1200.00,5.000,-7.928,7.8420154318039e+01,2.7273,46.6817,1.8187,17.8252,1.5106,0.0208,8.4120,0.0300,7.8494,0.0247,0.0000,10.7089,2.5230,0.0319,0.0128,1.2752,1.2752,0.0000,0.0000,0.0000,-1.2510752804073e+03,-9.3388131345293e+02,2.1531681563616e+02,2.8753816654416e+01,1.1550778368993e+02,3.6887183e-01,3.8833686e-02,1.3506326e-02,2.6563317e-03,5.2454960e-04,6.9483115e-02,4.0675381e-04,5.5726874e-02,8.3783683e-04,0.0000000e+00,9.7166431e-02,1.1673120e-04,4.1357817e-04,4.2409651e-03,2.5504811e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.5077371e-02,1.6724,2.1386138558900e+01,3.2643,-3.4277059664752e+02,-2.6699283761059e+02,5.1439268938624e+01,6.5515642725881e+00,2.6356995150520e+01,-1.5938458770549e+03,-1.2008741510635e+03, 2.6675608457478e+02, 3.5305380927004e+01, 1.4186477884045e+02, 3.1572156126380e-03,-2.1987800026318e-04, 8.9425904203263e-05, 6.2278891911064e-06, 2.8747420773176e-03,-2.1476386298917e-04, 9.9977756409466e-05, 7.4690558672735e-06
2,1190.00,5.000,-8.039,7.4239668347949e+01,2.7244,46.5574,1.8807,18.4205,1.5116,0.0122,8.4896,0.0317,7.3347,0.0261,0.0000,10.3429,2.6514,0.0337,0.0135,1.3470,1.3470,0.0000,0.0000,0.0000,-1.1818778345635e+03,-8.8412053588996e+02,2.0350428778560e+02,2.7250338546289e+01,1.0897610740888e+02,3.6802366e-01,4.1695874e-02,1.3851304e-02,2.6414466e-03,2.9595900e-04,7.2067373e-02,4.2103624e-04,5.2263381e-02,8.9479073e-04,0.0000000e+00,9.2763931e-02,1.0889614e-04,4.1266507e-04,4.7345671e-03,2.7188617e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.6931601e-02,1.7167,4.1901020484290e+00,3.2637,-6.7208563586916e+01,-5.2736450866806e+01,9.8910656597817e+00,1.2838503393245e+00,5.0043887074954e+00,-1.5912265121217e+03,-1.2040223743130e+03, 2.6463734942335e+02, 3.5080720136005e+01, 1.4030594919220e+02, 3.1041253605904e-03,-2.1494095222092e-04, 8.8485223466223e-05, 6.1270393363538e-06, 2.7685656924170e-03,-2.0878694724453e-04, 1.0159747878780e-04, 7.6618111327266e-06
3,1180.00,5.000,-8.152,7.0414567721189e+01,2.7211,46.4685,1.9373,18.9905,1.5104,0.0056,8.5516,0.0334,6.8359,0.0275,0.0000,9.9679,2.7813,0.0355,0.0142,1.4202,1.4202,0.0000,0.0000,0.0000,-1.1187295365249e+03,-8.3870306100685e+02,1.9270307643261e+02,2.5877701644233e+01,1.0300833142153e+02,3.6762663e-01,4.4666270e-02,1.4147898e-02,2.6254985e-03,1.3193192e-04,7.4666518e-02,4.3550773e-04,4.8945829e-02,9.5355062e-04,0.0000000e+00,8.8421452e-02,1.0130240e-04,4.1049366e-04,5.2695053e-03,2.8933340e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.8818350e-02,1.7629,3.8313536196088e+00,3.2741,-6.1223972236658e+01,-4.8136144200543e+01,9.0065224072634e+00,1.1702121901182e+00,4.5623624119425e+00,-1.5886330460013e+03,-1.2070081124636e+03, 2.6261909199851e+02, 3.4873848354343e+01, 1.3886934824365e+02, 3.0538508497735e-03,-2.1039541960672e-04, 8.7568507459921e-05, 6.0330427966810e-06, 2.6704764865728e-03,-2.0329261080255e-04, 1.0319604589644e-04, 7.8558990128808e-06
4,1170.00,5.000,-8.265,6.6896151352676e+01,2.7173,46.4221,1.9877,19.5291,1.5070,0.0015,8.5955,0.0351,6.3513,0.0290,0.0000,9.5865,2.9131,0.0374,0.0149,1.4949,1.4949,0.0000,0.0000,0.0000,-1.0608126008938e+03,-7.9704029548390e+02,1.8277539092256e+02,2.4618622939450e+01,9.7525813487651e+01,3.6774542e-01,4.7739688e-02,1.4384491e-02,2.6097514e-03,3.4738737e-05,7.7268638e-02,4.5040888e-04,4.5751941e-02,1.0144933e-03,0.0000000e+00,8.4178494e-02,9.4014375e-05,4.0712022e-04,5.8481737e-03,3.0742559e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.0739923e-02,1.8116,3.5249935529940e+00,3.2860,-5.6105923676889e+01,-4.4197468505157e+01,8.2517099204741e+00,1.0727235403209e+00,4.1854753441643e+00,-1.5860655537522e+03,-1.2098548107731e+03, 2.6068720713651e+02, 3.4682569322093e+01, 1.3753717105599e+02, 3.0057790903027e-03,-2.0618606263979e-04, 8.6665410004327e-05, 5.9449477553110e-06, 2.5791957449531e-03,-1.9821450821279e-04, 1.0476604444110e-04, 8.0514051781170e-06
5,1160.00,5.000,-8.381,6.3556204771226e+01,2.7124,46.4656,2.0325,20.0052,1.5008,0.0001,8.6049,0.0370,5.8601,0.0305,0.0000,9.2103,3.0511,0.0393,0.0157,1.5734,1.5734,0.0000,0.0000,0.0000,-1.0061078629615e+03,-7.5763380693993e+02,1.7337616859477e+02,2.3431504920196e+01,9.2318558811981e+01,3.6887082e-01,5.0980261e-02,1.4491740e-02,2.6002748e-03,1.4342212e-06,7.9843166e-02,4.6713246e-04,4.2520391e-02,1.0795504e-03,0.0000000e+00,8.0228938e-02,8.7129966e-05,4.0208402e-04,6.4813520e-03,3.2627993e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.2747817e-02,1.8670,3.3473970196324e+00,3.3072,-5.3007926207028e+01,-4.1824504356832e+01,7.8033854447865e+00,1.0121446871429e+00,3.9657353766183e+00,-1.5835330680615e+03,-1.2126259297089e+03, 2.5880552513871e+02, 3.4502240921134e+01, 1.3625678906907e+02, 2.9571815743565e-03,-2.0216978489672e-04, 8.5709840735160e-05, 5.8596131584279e-06, 2.4905997418138e-03,-1.9338694112245e-04, 1.0629277762126e-04, 8.2532872634984e-06
6,1150.00,5.000,-8.498,6.0097635425631e+01,2.7040,46.7926,2.0727,20.2891,1.4883,0.0000,8.5271,0.0391,5.3166,0.0322,0.0000,8.8456,3.2106,0.0416,0.0166,1.6640,1.6640,0.0000,0.0000,0.0000,-9.5009501605307e+02,-7.1708966553222e+02,1.6372508205098e+02,2.2225781470864e+01,8.6896162228133e+01,3.7327402e-01,5.4719584e-02,1.4213087e-02,2.6094498e-03,4.7854174e-10,8.2362321e-02,4.9072574e-04,3.8959539e-02,1.1546977e-03,0.0000000e+00,7.6885257e-02,8.0581483e-05,3.9262800e-04,7.1934750e-03,3.4640669e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.5038618e-02,1.9439,3.4713534353139e+00,3.3593,-5.4499073817817e+01,-4.3044069086586e+01,8.0490494545419e+00,1.0333618425205e+00,4.1036308379886e+00,-1.5810760626316e+03,-1.2154910700748e+03, 2.5688437097761e+02, 3.4323459029762e+01, 1.3489287936776e+02, 2.9000608852190e-03,-1.9804080707910e-04, 8.4492092790076e-05, 5.7698382586492e-06, 2.3939741834870e-03,-1.8846309619702e-04, 1.0771158650260e-04, 8.4794812026780e-06
7,1140.00,5.000,-8.617,5.6916898346085e+01,2.6942,47.2325,2.1019,20.4970,1.4706,0.0000,8.3982,0.0413,4.7876,0.0340,0.0000,8.4877,3.3738,0.0439,0.0176,1.7569,1.7569,0.0000,0.0000,0.0000,-8.9891638170136e+02,-6.8007507141473e+02,1.5486063778553e+02,2.1125667643135e+01,8.1912059310901e+01,3.7877229e-01,5.8559384e-02,1.3815544e-02,2.6234946e-03,0.0000000e+00,8.4646613e-02,5.1673207e-04,3.5500822e-02,1.2339718e-03,0.0000000e+00,7.3789888e-02,7.4429050e-05,3.8165969e-04,7.9537325e-03,3.6714341e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.7390408e-02,2.0296,3.1920806923234e+00,3.3859,-4.9739335855034e+01,-3.9334041341611e+01,7.3631918150399e+00,9.4275970121089e-01,3.7582700646446e+00,-1.5786537085602e+03,-1.2182426579225e+03, 2.5504090198332e+02, 3.4159948445344e+01, 1.3362077756340e+02, 2.8444107484621e-03,-1.9422655041480e-04, 8.3267419241373e-05, 5.6857975276386e-06, 2.3030784223599e-03,-1.8393309639351e-04, 1.0901801833034e-04, 8.7066169694891e-06
8,1130.00,5.000,-8.737,5.3908614826822e+01,2.6851,47.6699,2.1303,20.6125,1.4571,0.0000,8.2955,0.0436,4.3412,0.0359,0.0000,8.1076,3.5315,0.0464,0.0185,1.8550,1.8550,0.0000,0.0000,0.0000,-8.5034487957108e+02,-6.4478760017952e+02,1.4649700986463e+02,2.0076634790948e+01,7.7241094607534e+01,3.8431350e-01,6.2673348e-02,1.3345696e-02,2.6215594e-03,0.0000000e+00,8.7049526e-02,5.4370828e-04,3.2606674e-02,1.3116776e-03,0.0000000e+00,7.0472557e-02,6.8713416e-05,3.7228222e-04,8.7248300e-03,3.8913453e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,4.0010699e-02,2.1067,3.0189902595688e+00,3.3102,-4.7208383007503e+01,-3.7445029228747e+01,6.9581682491225e+00,9.1202448154697e-01,3.5544317636303e+00,-1.5762369716042e+03,-1.2208694269495e+03, 2.5326411620611e+02, 3.4016424351823e+01, 1.3245441727261e+02, 2.7906273299053e-03,-1.9039388328312e-04, 8.2037644552012e-05, 5.5971163022289e-06, 2.2175196639456e-03,-1.7933751271850e-04, 1.1045275700017e-04, 8.9326480551094e-06
9,1120.00,5.000,-8.860,5.0375228024541e+01,2.6790,47.8981,2.2138,20.5440,1.4685,0.0000,8.3236,0.0467,3.9833,0.0384,0.0000,7.7562,3.6879,0.0495,0.0199,1.9851,1.9851,0.0000,0.0000,0.0000,-7.9237811348266e+02,-6.0178270092707e+02,1.3680896712887e+02,1.8803399493603e+01,7.1884622043904e+01,3.8741378e-01,6.8373040e-02,1.2709614e-02,2.5872061e-03,0.0000000e+00,9.0116826e-02,5.7291387e-04,3.0167726e-02,1.3840869e-03,0.0000000e+00,6.7256210e-02,6.4336330e-05,3.7203028e-04,9.4769979e-03,4.1303276e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,4.3924141e-02,2.1385,3.5436639703431e+00,3.0615,-5.6678242107520e+01,-4.5152057814092e+01,8.2734696862702e+00,1.1574978864155e+00,4.2383550150504e+00,-1.5737816168088e+03,-1.2234832409931e+03, 2.5144340222927e+02, 3.3892830422419e+01, 1.3127962086686e+02, 2.7301838289400e-03,-1.8507586056002e-04, 8.0553432537580e-05, 5.4606197904794e-06, 2.1226014990217e-03,-1.7279581566682e-04, 1.1288392291744e-04, 9.1896050884630e-06
10,1110.00,5.000,-8.984,4.7115987432164e+01,2.6721,48.1649,2.2854,20.4636,1.4744,0.0000,8.3060,0.0499,3.6329,0.0411,0.0000,7.4164,3.8466,0.0529,0.0212,2.1224,2.1224,0.0000,0.0000,0.0000,-7.3925192677571e+02,-5.6235477690246e+02,1.2789440760095e+02,1.7632864379866e+01,6.6962937010466e+01,3.9068359e-01,7.4177230e-02,1.2075710e-02,2.5570712e-03,0.0000000e+00,9.2904342e-02,6.0329776e-04,2.7775662e-02,1.4584034e-03,0.0000000e+00,6.4210727e-02,6.0151791e-05,3.7108677e-04,1.0260337e-02,4.3694232e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,4.8053544e-02,2.1708,3.2720939096552e+00,3.0668,-5.1972840326026e+01,-4.1445806421611e+01,7.6109127024653e+00,1.0669331301075e+00,3.9001457801248e+00,-1.5713481234244e+03,-1.2259835598029e+03, 2.4969422233415e+02, 3.3780368745005e+01, 1.3019428320423e+02, 2.6727459168371e-03,-1.8009368686110e-04, 7.9121277124373e-05, 5.3313120475551e-06, 2.0340388041533e-03,-1.6667629919648e-04, 1.1535498489263e-04, 9.4525934984671e-06
